cand,family,series,kind,periods,pub_lag_days,first_obs,transform,window,sign_IS,SR_IS,SR_OOS,SR_full,SR_full_gross,SR_full_stubcost,SR_of_SR,positive_years,n_years,beta,mean_pos,max_dd_days,max_dd_pct,turnover_ann,held_pct,tcost_pct_of_gross,gate_srsr,gate_posyr,gate_beta,gate_nyr,gate_oos,n_gates
us_term_premium_10y_level|rankc|w252,rates,us_term_premium_10y,level,0,0,1990-01-02,rankc,252,-1,0.529,-0.291,0.285,0.306,0.299,0.288,0.64,25,0.017,-0.007605257802918252,1418,-54.61,16.64,99.52,6.77,False,False,True,True,False,2
us_real_10y_level|robustz|w120,rates,us_real_10y,level,0,0,2003-01-02,robustz,120,-1,0.607,-0.358,0.283,0.311,0.301,0.21,0.583,24,-0.08,0.005117154175540502,1594,-62.66,21.74,99.18,9.0,False,False,True,True,False,2
us_semi_ip_yoy|bdtanh|w60,semis,us_semi_ip,yoy,12,46,1972-01-01,bdtanh,60,1,0.438,-0.134,0.273,0.281,0.278,0.258,0.5,26,-0.015,0.0200913764981827,2400,-54.08,7.17,99.71,3.01,False,False,True,True,False,2
us_semi_ip_yoy|signth|w60,semis,us_semi_ip,yoy,12,46,1972-01-01,signth,60,1,0.467,-0.195,0.273,0.279,0.277,0.24,0.5,26,-0.068,0.012050130362158898,1571,-57.32,5.47,99.71,2.27,False,False,True,True,False,2
us_semi_ppi_yoy|bdtanh|w60,semis,us_semi_ppi,yoy,12,45,1967-01-01,bdtanh,60,-1,0.385,-0.012,0.273,0.283,0.28,0.242,0.577,26,-0.089,-0.0023482264257865372,1752,-76.43,8.17,99.61,3.65,False,False,True,True,False,2
us_semi_ip_nsa_yoy|bdtanh|w120,semis,us_semi_ip_nsa,yoy,12,46,1972-01-01,bdtanh,120,1,0.465,-0.24,0.267,0.274,0.271,0.226,0.615,26,0.022,0.023566586122383448,1550,-81.29,6.06,99.79,2.58,False,False,True,True,False,2
us_term_premium_10y_level|selfz|w252,rates,us_term_premium_10y,level,0,0,1990-01-02,selfz,252,-1,0.512,-0.31,0.261,0.28,0.274,0.297,0.64,25,0.019,-0.0014371060950076648,1692,-53.58,14.24,99.32,6.62,False,False,True,True,False,2
us_semi_ip_yoy|rankc|w120,semis,us_semi_ip,yoy,12,46,1972-01-01,rankc,120,1,0.489,-0.313,0.26,0.267,0.265,0.253,0.615,26,-0.045,0.03454940984474493,2346,-65.33,6.24,99.66,2.71,False,False,True,True,False,2
us_term_premium_10y_level|bdtanh|w120,rates,us_term_premium_10y,level,0,0,1990-01-02,bdtanh,120,-1,0.447,-0.218,0.252,0.274,0.267,0.264,0.615,26,0.017,0.004910015902249016,1182,-61.55,17.31,99.59,8.14,False,False,True,True,False,2
cn_shanghai_comp_yoy|bdtanh|w120,cn_cycle,cn_shanghai_comp,yoy,12,31,1999-01-01,bdtanh,120,1,0.376,-0.075,0.25,0.257,0.255,0.235,0.538,26,0.008,0.0491479385781515,1606,-56.19,5.64,99.72,2.78,False,False,True,True,False,2
